"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00137883474981157,-0.310640762428165,0.983,1,1,"Treated","ZBTB44"
0.00137883474981157,0.418491501437471,1,1,1,"Treated","TMEM8B"
0.00137883474981157,-0.233922146517208,1,1,1,"Treated","IPO7"
0.00137883474981157,0.191919556280924,1,1,1,"Treated","SELENOS"
0.00137883474981157,-0.182184740661908,1,1,1,"Treated","FASN"
0.00138909922266447,-0.468069911262563,0.767,0.983,1,"Treated","OPN3"
0.00139445717918977,-0.643573630528491,0.017,0.2,1,"Treated","AL121929.3"
0.00139822433028148,0.582110552888961,0.9,0.917,1,"Treated","PSD"
0.00140263977106832,0.536532305151761,0.933,0.95,1,"Treated","KIAA1841"
0.00140361022746339,0.389719235675267,0.967,0.95,1,"Treated","ZNF589"
0.00140404168166134,0.359055899727842,0.967,0.983,1,"Treated","CD200"
0.00140414955869692,0.371364100878159,0.983,1,1,"Treated","DDRGK1"
0.00140414955869692,-0.347227930698433,0.983,1,1,"Treated","UPF3B"
0.00140414955869692,-0.288396648316319,1,1,1,"Treated","FRG1"
0.00140414955869692,0.21969404711086,1,1,1,"Treated","C18orf32"
0.00140414955869692,0.213348421222471,1,1,1,"Treated","CRLS1"
0.0014202654039133,-0.560685661455241,0.717,0.917,1,"Treated","USP37"
0.00142087297864824,-0.597656042071826,0.583,0.867,1,"Treated","DHRS11"
0.0014283595296742,0.504169144847924,0.967,0.917,1,"Treated","MAD1L1"
0.00142888226975133,-0.673182750215341,0.417,0.767,1,"Treated","AL158152.1"
0.00142986491737178,0.390085540883073,1,0.967,1,"Treated","A1BG"
0.00142989229759612,0.516340757047547,0.983,1,1,"Treated","TBC1D9"
0.00142989229759612,0.301620466074473,0.983,1,1,"Treated","NT5C2"
0.00142989229759612,-0.383948526308493,0.983,1,1,"Treated","LIG3"
0.00142989229759612,0.262302221871712,1,1,1,"Treated","LRCH1"
