row_id,mz,rt.min
50129,365.1052,15.7322
6320,835.3779,3.6457
36753,524.2162,9.322
71317,446.8463,20.2311
37196,572.7853,10.262
6649,911.7336,3.192
30220,1259.2738,8.46
1475,438.3789,3.1852
61569,117.1023,16.0921
54794,241.0796,15.5688
52104,274.9105,14.8079
57990,314.0646,16.7212
59527,426.9953,17.032
44670,123.9407,12.2468
48759,277.083,12.9026
4383,1399.9359,3.0364
63284,398.889,18.5822
55933,426.0474,14.9556
10724,520.3397,3.7093
27773,380.1848,7.7963
61383,645.9825,17.6873
7946,1041.6861,3.6738
20851,175.1076,5.6375
58981,284.9952,17.006
43758,454.1652,11.111
66642,284.87,19.3822
7267,1326.784,3.3538
27849,252.1092,7.8915
60426,496.9708,17.4405
58954,288.9472,16.008
11498,341.2434,3.8528
30690,545.3412,8.1173
11343,187.1117,3.7971
5405,865.5796,2.9192
54445,536.1622,15.4588
62125,266.9012,18.7318
27300,465.1311,7.7721
12444,855.6701,3.2311
61120,657.1231,17.756
65365,1033.2306,19.0303
4240,672.5254,3.1007
51946,665.1007,14.4105
42976,452.3218,9.9504
8645,459.3106,3.2035
22401,279.1704,4.3242
70283,770.5152,21.1747
38660,213.0921,10.9154
42581,413.1023,10.7871
7062,1006.6613,2.8855
13325,730.5381,3.1816
20963,329.1497,5.2741
72079,209.0774,23.2167
21907,419.2499,5.8502
57640,404.9845,16.5391
54360,271.9651,15.5053
61007,811.0199,17.3862
52760,563.1427,14.7209
49720,265.0909,13.4329
70028,302.8134,21.1349
72098,130.0886,22.9463
5878,843.7065,3.697
15449,297.1268,4.4629
55648,703.1353,16.2124
2192,1030.631,3.0837
37472,232.1293,10.8891
52930,140.0681,14.9018
41680,518.3243,10.5638
4390,811.3414,3.3357
19104,539.523,3.1389
55275,713.1143,15.747
63289,530.8343,18.675
25848,231.134,8.5053
12256,421.34,4.006
50427,74.06,15.3841
61097,243.0326,17.919
63478,698.7755,18.9413
60260,510.9912,17.3708
48446,307.065,12.6735
3323,1140.7623,2.911
58444,320.975,16.7431
41912,370.2005,10.9598
58772,358.8927,19.1867
47918,412.1304,13.1925
66946,270.8902,19.9573
52678,170.0577,14.4536
30719,625.1929,8.3867
60481,232.1405,17.3574
26864,316.1268,7.6176
65459,1718.4175,19.1566
66616,766.7437,19.1414
3596,646.3937,3.1108
28752,837.1529,8.3225
3781,1219.7331,3.0466
70797,404.7777,21.4066
57337,322.9848,16.5512
64952,332.9056,19.3108
3354,580.3846,2.8864
69992,974.4832,21.3979
55602,658.1554,15.9771
29681,429.0761,8.2979
58754,133.0607,16.0698
60203,267.0417,18.273
53835,297.5884,15.436
5668,1076.6377,3.2245
72151,622.9577,22.8677
45235,634.2708,10.8386
18918,377.3201,3.2552
57666,142.0282,16.5634
12782,542.322,3.9984
61122,346.1307,17.5644
69210,416.8414,19.3941
30865,189.1233,8.3721
70038,438.7296,21.1732
64452,610.813,18.3165
35764,369.9975,9.9523
56135,529.1148,16.1369
57759,190.0062,16.6297
61349,1008.3612,17.6861
65068,1011.2486,19.1054
45484,261.1599,11.464
2934,1086.6933,3.5951
31200,281.1497,7.5157
50998,792.2284,14.0797
57297,331.0978,15.9448
64105,252.932,18.957
42568,246.1813,13.2373
5040,653.1244,2.888
33056,148.0427,8.2873
59908,300.9798,16.5801
3674,697.4638,2.9508
19024,149.0743,5.2893
3786,720.4682,3.1203
10191,315.1955,3.5836
10126,367.2687,3.629
69711,542.6956,21.145
10066,603.5349,2.9217
4479,791.4919,3.1186
58524,261.0426,16.3326
65535,1228.5892,19.1483
60329,314.9029,19.1001
54061,222.0292,15.4431
54496,334.8662,15.7827
52993,250.0511,13.2713
70381,690.5831,21.3202
64789,128.9533,19.0553
72415,581.2236,23.1088
59161,402.986,15.8698
56003,283.0593,15.9802
64974,363.8958,19.0919
69087,261.0881,19.9003
70158,496.6987,21.7247
31893,243.134,8.8972
71899,545.2499,22.4327
68148,262.9129,19.301
60202,262.9108,17.4803
33198,170.0811,8.0436
72285,581.2304,23.1534
35907,544.3379,9.3135
61248,532.0311,17.7569
32700,249.1446,8.9649
43498,321.0786,11.9658
48794,299.0649,12.9813
58546,603.0156,16.7979
70075,836.495,21.1103
16377,592.3375,3.6101
61070,657.1369,16.6519
50518,260.197,13.6298
2819,603.4408,3.1201
4614,921.6817,3.1698
58532,543.0593,15.7029
19210,981.637,4.8243
7374,633.5088,3.078
45005,468.2064,10.3112
45989,325.1428,12.7536
41970,216.0583,11.2551
71310,314.9029,20.3729
60632,388.8735,17.8547
69399,308.8312,20.7187
63874,354.9006,19.4228
14417,472.2754,4.6714
61750,1359.4041,18.082
59635,298.9577,16.9174
31260,849.1756,8.4127
60409,413.0191,16.7464
24517,244.0533,7.4695
56321,427.0318,16.1114
55729,686.1769,15.8913
9965,350.2325,3.8232
2431,878.5772,2.9025
52764,659.1391,14.4765
49556,568.187,13.5507
47287,354.0573,13.0384
21344,168.123,5.9428
71946,627.2054,22.3483
35898,458.3086,9.3911
8414,730.5744,3.561
2974,519.139,2.8979
61195,723.0691,17.7996
49875,313.1114,12.9785
25806,250.0936,7.4854
69984,854.4786,21.302
48710,355.0296,12.7301
61538,326.9829,17.1837
70265,850.4708,21.431
58585,543.0544,15.9458
21404,295.1289,6.2819
30246,120.0904,9.8937
71346,261.0881,20.8354
17421,589.4617,3.3063
34059,179.029,9.466
42525,150.0774,11.3372
52703,354.0506,15.1564
72147,363.0548,22.4159
14736,834.5996,3.2687
3765,551.2984,3.7656
61302,430.0824,17.8264
54546,611.1025,15.4269
70192,890.5005,20.939
54926,410.98,15.6477
57547,157.0638,15.9614
58575,361.0001,15.681
69991,952.4371,21.2528
47065,291.0849,12.9567
70186,828.4989,21.2317
70592,372.7519,21.3681
66619,526.8316,19.1615
47216,341.174,12.6628
27617,342.1093,7.5201
14503,568.5664,3.1539
2586,990.6663,2.8936
61430,306.874,17.9773
34916,1195.8208,8.5732
70150,314.7946,21.1914
69833,818.5241,21.0825
2223,1191.7009,3.1388
32620,453.2319,7.5571
55730,513.9451,16.1249
12899,604.3541,4.0311
50232,457.2771,14.319
21623,365.1611,5.7222
58529,467.0632,15.8848
47025,72.0807,13.1845
56688,530.1248,15.2651
57403,150.0137,16.6083
70298,912.4632,21.1746
28469,261.1211,6.9396
3623,508.3639,3.1463
16868,223.0637,2.9664
70284,714.5484,21.3398
73142,650.959,23.895
17165,782.5539,2.9937
4868,707.3035,3.1891
54507,400.0071,15.5657
70942,592.8033,19.9351
31461,294.145,7.6978
70033,370.7571,21.1564
59526,405.0141,16.0873
40738,450.1937,11.1054
3269,632.1533,2.9257
49775,182.094,13.5801
35174,212.0329,10.2183
57899,112.089,16.6154
26495,611.0958,7.9024
27169,442.2215,7.738
52188,490.0987,14.7282
29576,586.177,8.2907
69744,476.7284,21.1887
43792,218.0458,11.2396
26834,694.1693,7.7759
72145,285.0757,21.8701
15605,964.78,3.2936
72150,481.0266,22.8187
45981,536.199,12.616
5918,1005.6115,3.4621
71295,90.093,20.4242
52829,309.0886,14.759
35859,227.0291,9.92
72083,363.0509,22.789
57090,346.1909,16.4902
72046,651.0801,22.7317
52742,521.1757,14.3658
46927,76.0942,12.967
19938,1192.8022,2.9675
6227,563.5399,2.9314
23556,530.3187,5.6289
56687,508.1425,16.2268
49809,226.0799,13.553
3085,430.0883,2.8744
9086,695.2801,4.1799
47154,211.1054,12.9465
38429,373.2808,8.6578
5011,600.4684,3.2489
62681,742.7575,19.1741
55577,680.1501,15.8643
66703,328.8467,19.809
46071,281.1473,12.7176
60565,775.1855,17.5044
70317,648.5768,21.1771
57338,324.0632,16.1965
69800,286.8493,20.7097
16036,615.4982,3.172
44385,204.1343,12.0598
22067,229.1547,7.9676
32625,477.1767,9.5986
3998,423.3622,3.0856
59639,405.0174,16.6379
34086,412.0988,9.5405
70460,538.6806,21.3184
45001,104.0528,11.904
58033,272.0965,16.7327
47411,174.0386,13.0027
34540,484.1803,9.4131
6116,621.3599,3.7084
27343,903.2411,7.8187
7170,526.4315,3.0963
50263,218.0458,13.503
49590,256.0906,13.7323
67630,672.76,19.3557
40827,1430.1013,10.9955
61616,624.0005,17.8262
3735,511.3743,3.014
37017,210.0502,10.2586
63291,592.8093,19.0729
35227,278.117,9.694
59170,684.2678,16.3999
56101,260.0533,16.1768
52784,661.1346,14.6119
70441,592.6102,21.3313
16382,708.5117,2.9993
31460,401.1142,8.6561
70304,660.6187,21.3165
42219,391.1202,10.1426
44438,157.0606,12.2021
60299,290.1461,17.4088
61876,1170.4141,17.7405
70164,630.6172,21.2074
31007,470.168,8.5396
8000,368.2792,3.4393
17685,318.1812,4.9729
62848,694.7589,18.7761
59637,342.9218,16.9503
38253,205.1183,10.1395
66620,412.816,19.3975
51612,471.1937,14.5123
56663,324.9961,16.6231
39535,189.1234,12.8268
50930,608.0145,14.1819
36515,252.0254,10.2295
68554,1162.2605,20.0054
70726,428.7963,21.1821
72129,130.0878,22.7473
69231,157.0641,20.6765
69159,242.8845,21.395
60963,701.0869,17.7924
70254,576.6428,21.1536
5899,765.3456,3.1798
60255,335.0115,16.9565
70793,420.7517,21.4004
43435,803.2312,11.1182
39439,699.1482,11.1393
